PIXid
Phototubes (PMPIX). For each we have 
   -the telescope identification number
   -the pixel identification number 
   -the pixel shape (1=circular, 2=hexagonal, 3=square)
   -orientation angle(degrees). If 0.0, polygon side perpendicular
    to the y-axis
   -the X position coordinate in the focal plane in mm
   -the Y position coordinate in the focal plane in mm
	Camera coordinates are such that increasing X corresponds to 
	going WEST when telescope is pointing SOUTH. Increasing Y 
	corresponds to increasing elevation.
   -the PMT Radius in mm
	The PMT radius really is the radius of the sensitive area (Radius of 
	the light cone input for example).
   -the geometrical efficiency which may be used to include the effects 
	of light cone loss. 
   -the quantum efficiency identification number to be used for that tube. 
   -the single photoelectron signal relative amplitude fluctuation. 
   -the signal rize time in nanosecondes
   -the signal fall time  in nanosecondes
   -the RC coupling time constant in nanosecondes
   -the bellongin of the channel to the trigger (1 if it bellongs, 
	0 other wise)
   -a flag indicating if the pixel should be used in the analysis(1) or not(0)
   -a time offset in nanosecond. It measures how late the pulse is locate in 
       the stack for each channel. the analysis and the simulation search 
       for the smalles non negative value and subtract it from all the other 
       to apply a relative correction.
   -a relative gain factor to account for the imperfect gain flat fielding. 
    In the anlysis, each pixel value is multiplied by this number while 
    in the simulation pulse amplitudes are divided by this number.

(JH) effective tube radius of 12.3mm (mean of ~20 values) measured by Purdue
(JH) Assume 100% geometrical efficiency over this area, then 50% out to 15.5mm
(JH) gives overall efficiency of 81%. This is a guess.

(GM) single pe values (amplitude fluctuations, rise and fall times)
(GM) according to calibration note from Jamie and Gernot (ELOG 720)

* PMPIX 1 1 1 0.0	      0.00	      0.00 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 2 1 0.0	     31.40	     -0.00 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 3 1 0.0	     15.70	    -27.19 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 4 1 0.0	    -15.70	    -27.19 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 5 1 0.0	    -31.40	     -0.00 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 6 1 0.0	    -15.70	     27.19 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 7 1 0.0	     15.70	     27.19 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 8 1 0.0	     62.80	     -0.00 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 9 1 0.0	     47.10	    -27.19 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 10 1 0.0	     31.40	    -54.39 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 11 1 0.0	      0.00	    -54.39 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 12 1 0.0	    -31.40	    -54.39 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 13 1 0.0	    -47.10	    -27.19 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 14 1 0.0	    -62.80	     -0.00 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 15 1 0.0	    -47.10	     27.19 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 16 1 0.0	    -31.40	     54.39 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 17 1 0.0	     -0.00	     54.39 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 18 1 0.0	     31.40	     54.39 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 19 1 0.0	     47.10	     27.19 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 20 1 0.0	     94.20	     -0.00 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 21 1 0.0	     78.50	    -27.19 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 22 1 0.0	     62.80	    -54.39 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 23 1 0.0	     47.10	    -81.58 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 24 1 0.0	     15.70	    -81.58 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 25 1 0.0	    -15.70	    -81.58 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 26 1 0.0	    -47.10	    -81.58 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 27 1 0.0	    -62.80	    -54.39 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 28 1 0.0	    -78.50	    -27.19 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 29 1 0.0	    -94.20	     -0.00 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 30 1 0.0	    -78.50	     27.19 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 31 1 0.0	    -62.80	     54.39 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 32 1 0.0	    -47.10	     81.58 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 33 1 0.0	    -15.70	     81.58 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 34 1 0.0	     15.70	     81.58 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 35 1 0.0	     47.10	     81.58 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 36 1 0.0	     62.80	     54.39 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 37 1 0.0	     78.50	     27.19 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 38 1 0.0	    125.60	     -0.00 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 39 1 0.0	    109.90	    -27.19 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 40 1 0.0	     94.20	    -54.39 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 41 1 0.0	     78.50	    -81.58 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 42 1 0.0	     62.80	   -108.77 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 43 1 0.0	     31.40	   -108.77 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 44 1 0.0	      0.00	   -108.77 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 45 1 0.0	    -31.40	   -108.77 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 46 1 0.0	    -62.80	   -108.77 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 47 1 0.0	    -78.50	    -81.58 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 48 1 0.0	    -94.20	    -54.39 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 49 1 0.0	   -109.90	    -27.19 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 50 1 0.0	   -125.60	     -0.00 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 51 1 0.0	   -109.90	     27.19 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 52 1 0.0	    -94.20	     54.39 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 53 1 0.0	    -78.50	     81.58 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 54 1 0.0	    -62.80	    108.77 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 55 1 0.0	    -31.40	    108.77 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 56 1 0.0	     -0.00	    108.77 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 57 1 0.0	     31.40	    108.77 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 58 1 0.0	     62.80	    108.77 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 59 1 0.0	     78.50	     81.58 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 60 1 0.0	     94.20	     54.39 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 61 1 0.0	    109.90	     27.19 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 62 1 0.0	    157.00	     -0.00 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 63 1 0.0	    141.30	    -27.19 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 64 1 0.0	    125.60	    -54.39 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 65 1 0.0	    109.90	    -81.58 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 66 1 0.0	     94.20	   -108.77 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 67 1 0.0	     78.50	   -135.97 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 68 1 0.0	     47.10	   -135.97 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 69 1 0.0	     15.70	   -135.97 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 70 1 0.0	    -15.70	   -135.97 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 71 1 0.0	    -47.10	   -135.97 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 72 1 0.0	    -78.50	   -135.97 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 73 1 0.0	    -94.20	   -108.77 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 74 1 0.0	   -109.90	    -81.58 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 75 1 0.0	   -125.60	    -54.39 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 76 1 0.0	   -141.30	    -27.19 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 77 1 0.0	   -157.00	     -0.00 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 78 1 0.0	   -141.30	     27.19 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 79 1 0.0	   -125.60	     54.39 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 80 1 0.0	   -109.90	     81.58 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 81 1 0.0	    -94.20	    108.77 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 82 1 0.0	    -78.50	    135.97 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
